WikidataITEM,CountryIsoCode,countryLabel,WikidataLabel,Continent,FormerColony,hdi,mobilityScore,loc,lat,long
http://www.wikidata.org/entity/Q664,NZL,New Zealand,New Zealand,Oceania,,931.0,131.0,New Zealand/Aotearoa,-41.5000831,172.8344077
http://www.wikidata.org/entity/Q854,LKA,Sri Lanka,Sri Lanka,Asia,True,782.0,43.0,"Sri Lanka, ශ්‍රී ලංකාව இலங்கை",7.877395849999999,80.66247852355892
http://www.wikidata.org/entity/Q843,PAK,Pakistan,Pakistan,Asia,True,557.0,36.0,پاکستان,30.3308401,71.247499
http://www.wikidata.org/entity/Q774,GTM,Guatemala,Guatemala,Latin_America_and_Caribbean,True,663.0,75.0,Guatemala,15.5855545,-90.345759
,,Macau,,,,,,"澳門 Macau, 風順堂區 São Lourenço, 澳門 Macau, 519020, 中国",22.1899448,113.5380454
http://www.wikidata.org/entity/Q1045,SOM,Somalia,Somalia,Africa,True,,34.0,Soomaaliya الصومال,8.3676771,49.083416
http://www.wikidata.org/entity/Q958,SSD,South Sudan,South Sudan,Africa,True,433.0,44.0,South Sudan,7.8699431,29.6667897
,,Saint Pierre and Miquelon,,,,,,"Saint-Pierre-et-Miquelon, France",46.783246899999995,-56.195158907484085
http://www.wikidata.org/entity/Q781,ATG,Antigua and Barbuda,Antigua and Barbuda,Latin_America_and_Caribbean,True,778.0,90.0,Antigua and Barbuda,17.2234721,-61.9554608
,,Falkland Islands,,,,,,Falkland Islands,-51.9492937,-59.5383657
http://www.wikidata.org/entity/Q334,SGP,Singapore,Singapore,Asia,True,938.0,119.0,Singapore,1.357107,103.8194992
http://www.wikidata.org/entity/Q1009,CMR,Cameroon,Cameroon,Africa,True,563.0,49.0,Cameroun,4.6125522,13.1535811
http://www.wikidata.org/entity/Q17,JPN,Japan,Japan,Asia,False,919.0,129.0,日本,36.5748441,139.2394179
http://www.wikidata.org/entity/Q1005,GMB,The Gambia,The Gambia,Africa,True,496.0,59.0,Gambia,13.470062,-15.4900464
,,Soviet Union,,,,,,"Soviet Union, Strada Lacului, Slobozia, Ialomița, 920012, România",44.566633350000004,27.359792969682104
,,Burma,,,,,,မြန်မာ,17.1750495,95.9999652
http://www.wikidata.org/entity/Q16644,MNP,Northern Mariana Islands,Northern Mariana Islands,Oceania,,,,"Northern Mariana Islands, United States",15.1753648,145.7379338
http://www.wikidata.org/entity/Q43,TUR,Turkey,Turkey,Europe,,0.82,99.0,Türkiye,38.9597594,34.9249653
http://www.wikidata.org/entity/Q1028,MAR,Morocco,Morocco,Africa,True,686.0,58.0,Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب,31.1728205,-7.3362482
http://www.wikidata.org/entity/Q191,EST,Estonia,Estonia,Europe,,892.0,130.0,Eesti,58.7523778,25.3319078
http://www.wikidata.org/entity/Q794,IRN,Iran,Iran,Asia,False,783.0,38.0,ایران,32.6475314,54.5643516
http://www.wikidata.org/entity/Q1039,STP,São Tomé and Príncipe,São Tomé and Príncipe,Africa,True,,,São Tomé e Príncipe,0.9713095,7.02255
,,Serbia and Montenegro,,,,,,,,
,,Guam,,,,,,"Guam, Chalan Pago-Ordot Municipality, Guam, United States",13.450125700000001,144.75755102972062
http://www.wikidata.org/entity/Q869,THA,Thailand,Thailand,Asia,False,777.0,62.0,ประเทศไทย,14.8971921,100.83273
,,Czechoslovakia,,,,,,"Czechoslovakia, Don Bosco, Parañaque, Southern Manila District, Metro Manila, 1711, Philippines",14.480176,121.0392436
,,French Southern Lands,,,,,,"Terres australes et antarctiques françaises, France",-49.237441950000004,69.62275903679347
http://www.wikidata.org/entity/Q1041,SEN,Senegal,Senegal,Africa,True,512.0,54.0,Sénégal,14.4750607,-14.4529612
http://www.wikidata.org/entity/Q756617,DNK,Denmark,Danish Realm,Europe,,0.94,133.0,Danmark,55.670249,10.3333283
http://www.wikidata.org/entity/Q826,MDV,Maldives,Maldives,Asia,True,0.74,74.0,ދިވެހިރާއްޖެ,3.7203503,73.2244152
http://www.wikidata.org/entity/Q916,AGO,Angola,Angola,Africa,True,581.0,51.0,Angola,-11.8775768,17.5691241
http://www.wikidata.org/entity/Q1006,GIN,Guinea,Guinea,Africa,True,477.0,49.0,Guinée,10.7226226,-10.7083587
http://www.wikidata.org/entity/Q1032,NER,Niger,Niger,Africa,True,394.0,50.0,Niger,17.7356214,9.3238432
http://www.wikidata.org/entity/Q784,DMA,Dominica,Dominica,Latin_America_and_Caribbean,True,742.0,81.0,República Dominicana,19.0974031,-70.3028026
http://www.wikidata.org/entity/Q811,NIC,Nicaragua,Nicaragua,Latin_America_and_Caribbean,True,0.66,74.0,Nicaragua,12.6090157,-85.2936911
